Name;Platform_norm;Year;developer;Global_Sales;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Generation;Console_Type;Company;Name_norm
.hack//G.U. Last Recode;PlayStation 4;2017;CyberConnect2;0.25;0.1;0.04;0.08;0.03;8th Gen;Home Console;Sony;.hack//g.u. last recode
.hack//G.U. Vol.2//Reminisce;PlayStation 2;2007;CyberConnect2;0.23;0.11;0.09;0.0;0.03;6th Gen;Home Console;Sony;.hack//g.u. vol.2//reminisce
.hack//Infection Part 1;PlayStation 2;2003;CyberConnect2;1.26;0.49;0.38;0.26;0.13;6th Gen;Home Console;Sony;.hack//infection part 1
.hack//Mutation Part 2;PlayStation 2;2003;CyberConnect2;0.67;0.23;0.18;0.2;0.06;6th Gen;Home Console;Sony;.hack//mutation part 2
.hack//Outbreak Part 3;PlayStation 2;2003;CyberConnect2;0.46;0.14;0.11;0.17;0.04;6th Gen;Home Console;Sony;.hack//outbreak part 3
.hack//Quarantine Part 4: The Final Chapter;PlayStation 2;2004;CyberConnect2;0.18;0.09;0.07;0.0;0.02;6th Gen;Home Console;Sony;.hack//quarantine part 4 the final chapter
007 Legends;PlayStation 3;2012;Eurocom;0.34;0.11;0.17;0.0;0.06;7th Gen;Home Console;Sony;007 legends
007 Legends;Wii U;2012;Eurocom;0.13;0.06;0.06;0.0;0.01;8th Gen;Home Console;Nintendo;007 legends
007 Legends;Xbox 360;2012;Eurocom;0.28;0.13;0.13;0.0;0.02;7th Gen;Home Console;Microsoft;007 legends
007: Quantum of Solace;Nintendo DS;2008;Vicarious Visions;0.13;0.11;0.01;0.0;0.01;7th Gen;Handheld;Nintendo;007 quantum of solace
007: Quantum of Solace;PlayStation 3;2008;Treyarch;1.15;0.43;0.51;0.02;0.19;7th Gen;Home Console;Sony;007 quantum of solace
007: Quantum of Solace;Wii;2008;Beenox;0.65;0.29;0.28;0.01;0.07;7th Gen;Home Console;Nintendo;007 quantum of solace
007: Quantum of Solace;Xbox 360;2008;Treyarch;1.48;0.82;0.51;0.01;0.14;7th Gen;Home Console;Microsoft;007 quantum of solace
007 Racing;PlayStation;2000;Eutechnyx;0.53;0.3;0.2;0.0;0.03;5th Gen;Home Console;Sony;007 racing
007: The World is Not Enough;Nintendo 64;2000;Eurocom Entertainment Software;1.56;1.13;0.38;0.02;0.03;5th Gen;Home Console;Nintendo;007 the world is not enough
007: The World is not Enough;PlayStation;2000;Black Ops Entertainment;0.92;0.51;0.35;0.0;0.06;5th Gen;Home Console;Sony;007 the world is not enough
007: Tomorrow Never Dies;PlayStation;1999;Black Ops Entertainment;3.21;1.72;1.33;0.0;0.16;5th Gen;Home Console;Sony;007 tomorrow never dies
10 Minute Solution;Wii;2010;Anchor Bay Entertainment;0.08;0.06;0.01;0.0;0.01;7th Gen;Home Console;Nintendo;10 minute solution
100 All-Time Favorites;Nintendo DS;2009;Ubisoft;0.51;0.35;0.12;0.0;0.04;7th Gen;Handheld;Nintendo;100 all time favorites
100 Classic Books;Nintendo DS;2010;Genius Sonority Inc.;0.66;0.12;0.52;0.0;0.02;7th Gen;Handheld;Nintendo;100 classic books
100 Classic Games;Nintendo DS;2011;Easy Interactive;0.03;0.0;0.03;0.0;0.0;7th Gen;Handheld;Nintendo;100 classic games
1000 Cooking Recipes From ELLE � Table;Nintendo DS;2010;Agenda;0.02;0.0;0.02;0.0;0.0;7th Gen;Handheld;Nintendo;1000 cooking recipes from elle √† table
1001 Touch Games;Nintendo DS;2011;Avanquest Software;0.31;0.11;0.17;0.0;0.03;7th Gen;Handheld;Nintendo;1001 touch games
101-in-1 Explosive Megamix;Nintendo DS;2009;Nordcurrent;0.2;0.05;0.13;0.0;0.02;7th Gen;Handheld;Nintendo;101 in 1 explosive megamix
101-in-1 Party Megamix Wii;Wii;2009;Nordcurrent;0.22;0.19;0.01;0.0;0.02;7th Gen;Home Console;Nintendo;101 in 1 party megamix wii
1080� TenEighty Snowboarding;Nintendo 64;1998;;2.04;1.25;0.61;0.13;0.05;5th Gen;Home Console;Nintendo;1080a° teneighty snowboarding
18 Wheeler: American Pro Trucker;GameCube;2002;Acclaim Studios Cheltenham;0.11;0.09;0.02;0.0;0.0;6th Gen;Home Console;Nintendo;18 wheeler american pro trucker
18 Wheeler: American Pro Trucker;PlayStation 2;2001;Acclaim Studios Cheltenham;0.4;0.2;0.15;0.0;0.05;6th Gen;Home Console;Sony;18 wheeler american pro trucker
187: Ride or Die;PlayStation 2;2005;Ubisoft Paris;0.15;0.07;0.06;0.0;0.02;6th Gen;Home Console;Sony;187 ride or die
187: Ride or Die;Xbox;2005;Ubisoft Paris;0.06;0.05;0.01;0.0;0.0;6th Gen;Home Console;Microsoft;187 ride or die
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe;Xbox;2005;Sega;0.53;0.4;0.11;0.0;0.02;6th Gen;Home Console;Microsoft;2 in 1 combo pack sonic heroes / super monkey ball deluxe
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe;Xbox 360;2013;Unknown;0.11;0.09;0.01;0.0;0.01;7th Gen;Home Console;Microsoft;2 in 1 combo pack sonic heroes / super monkey ball deluxe
2002 FIFA World Cup;GameCube;2002;EA Canada;0.05;0.04;0.01;0.0;0.0;6th Gen;Home Console;Nintendo;2002 fifa world cup
2002 FIFA World Cup;PlayStation 2;2002;EA Canada;0.6;0.21;0.17;0.16;0.06;6th Gen;Home Console;Sony;2002 fifa world cup
2002 FIFA World Cup;Xbox;2002;EA Canada;0.19;0.14;0.04;0.0;0.01;6th Gen;Home Console;Microsoft;2002 fifa world cup
2010 FIFA World Cup South Africa;PlayStation 3;2010;EA Canada;1.23;0.3;0.64;0.07;0.22;7th Gen;Home Console;Sony;2010 fifa world cup south africa
2010 FIFA World Cup South Africa;PlayStation Portable;2010;EA Canada;0.47;0.09;0.23;0.03;0.12;6th Gen;Handheld;Sony;2010 fifa world cup south africa
2010 FIFA World Cup South Africa;Wii;2010;EA Canada;0.43;0.23;0.15;0.01;0.04;7th Gen;Home Console;Nintendo;2010 fifa world cup south africa
2010 FIFA World Cup South Africa;Xbox 360;2010;EA Canada;0.85;0.32;0.42;0.02;0.09;7th Gen;Home Console;Microsoft;2010 fifa world cup south africa
2014 FIFA World Cup Brazil;PlayStation 3;2014;EA Canada;0.66;0.15;0.4;0.01;0.1;7th Gen;Home Console;Sony;2014 fifa world cup brazil
2014 FIFA World Cup Brazil;Xbox 360;2014;EA Canada;0.43;0.15;0.25;0.0;0.03;7th Gen;Home Console;Microsoft;2014 fifa world cup brazil
24: The Game;PlayStation 2;2006;SCEE Cambridge;0.31;0.15;0.12;0.0;0.04;6th Gen;Home Console;Sony;24 the game
25 To Life;PlayStation 2;2006;Avalanche Software / Ritual Entertainment;0.42;0.35;0.01;0.0;0.06;6th Gen;Home Console;Sony;25 to life
25 To Life;Xbox;2006;Avalanche Software / Ritual Entertainment;0.17;0.12;0.04;0.0;0.01;6th Gen;Home Console;Microsoft;25 to life
2Xtreme;PlayStation;1996;SCEA;1.4;1.15;0.2;0.0;0.05;5th Gen;Home Console;Sony;2xtreme
3 in 1: Solitaire, Mahjong & Tangram;Nintendo DS;2010;Deep Silver;0.08;0.0;0.07;0.0;0.01;7th Gen;Handheld;Nintendo;3 in 1 solitaire, mahjong & tangram
300: March to Glory;PlayStation Portable;2007;Collision Studios;0.42;0.27;0.08;0.0;0.07;6th Gen;Handheld;Sony;300 march to glory
3D Baseball;PlayStation;1996;Crystal Dynamics;0.03;0.02;0.01;0.0;0.0;5th Gen;Home Console;Sony;3d baseball
3D Dot Game Heroes;PlayStation 3;2009;;0.58;0.36;0.12;0.03;0.07;7th Gen;Home Console;Sony;3d dot game heroes
3D Lemmings;PlayStation;1995;Clockwork Games;0.05;0.03;0.02;0.0;0.0;5th Gen;Home Console;Sony;3d lemmings
3D Tank Warfare Simulator Panzer Front;PlayStation;2001;Enterbrain;0.11;0.06;0.04;0.0;0.01;5th Gen;Home Console;Sony;3d tank warfare simulator panzer front
3Xtreme;PlayStation;1999;Unknown;0.9;0.5;0.34;0.0;0.06;5th Gen;Home Console;Sony;3xtreme
4 Elements;Nintendo 3DS;2013;Playrix Entertainment;0.02;0.0;0.02;0.0;0.0;8th Gen;Handheld;Nintendo;4 elements
40 Winks;PlayStation;1999;Eurocom Entertainment Software;0.31;0.17;0.12;0.0;0.02;5th Gen;Home Console;Sony;40 winks
4X4 EVO 2;GameCube;2002;Terminal Reality;0.14;0.11;0.03;0.0;0.0;6th Gen;Home Console;Nintendo;4x4 evo 2
4X4 EVO 2;Xbox;2001;Terminal Reality;0.24;0.18;0.05;0.0;0.01;6th Gen;Home Console;Microsoft;4x4 evo 2
4x4 Evolution;PlayStation 2;2001;Terminal Reality;0.32;0.16;0.12;0.0;0.04;6th Gen;Home Console;Sony;4x4 evolution
50 Cent: Blood on the Sand;PlayStation 3;2009;Swordfish Studios;0.2;0.1;0.06;0.01;0.03;7th Gen;Home Console;Sony;50 cent blood on the sand
50 Cent: Blood on the Sand;Xbox 360;2009;Swordfish Studios;0.21;0.12;0.07;0.0;0.02;7th Gen;Home Console;Microsoft;50 cent blood on the sand
50 Cent: Bulletproof;PlayStation 2;2005;Genuine;1.77;0.85;0.76;0.0;0.16;6th Gen;Home Console;Sony;50 cent bulletproof
50 Cent: Bulletproof;Xbox;2005;Genuine Games;0.45;0.33;0.1;0.0;0.02;6th Gen;Home Console;Microsoft;50 cent bulletproof
50 Classic Games;Nintendo 3DS;2012;Unknown;0.01;0.0;0.01;0.0;0.0;8th Gen;Handheld;Nintendo;50 classic games
7 Days to Die;PlayStation 4;2016;The Fun Pimps;0.2;0.09;0.08;0.0;0.03;8th Gen;Home Console;Sony;7 days to die
7 Days to Die;Xbox One;2016;The Fun Pimps;0.12;0.09;0.02;0.0;0.01;8th Gen;Home Console;Microsoft;7 days to die
7 Wonders II;Nintendo DS;2010;MumboJumbo;0.31;0.13;0.15;0.0;0.03;7th Gen;Handheld;Nintendo;7 wonders ii
7 Wonders of the Ancient World;Nintendo DS;2007;Hot Lava Games;0.12;0.1;0.01;0.0;0.01;7th Gen;Handheld;Nintendo;7 wonders of the ancient world
7 Wonders: Treasures of Seven;Nintendo DS;2011;Avanquest Software;0.03;0.01;0.02;0.0;0.0;7th Gen;Handheld;Nintendo;7 wonders treasures of seven
7th Dragon III Code: VFD;Nintendo 3DS;2016;Sega;0.24;0.06;0.04;0.13;0.01;8th Gen;Handheld;Nintendo;7th dragon iii code vfd
88 Heroes: 98 Heroes Edition;Switch;2017;Bitmap Bureau;0.02;0.0;0.02;0.0;0.0;8th Gen;Hybrid;Nintendo;88 heroes 98 heroes edition
'98 Koshien;PlayStation;1998;Magical Company;0.4;0.15;0.1;0.12;0.03;5th Gen;Home Console;Sony;98 koshien
[Prototype 2];PlayStation 3;2012;;0.75;0.36;0.28;0.0;0.11;7th Gen;Home Console;Sony;[prototype 2]
[Prototype 2];Xbox 360;2012;;0.8;0.48;0.25;0.0;0.07;7th Gen;Home Console;Microsoft;[prototype 2]
[Prototype];PlayStation 3;2009;Radical Entertainment;1.24;0.65;0.41;0.0;0.18;7th Gen;Home Console;Sony;[prototype]
[Prototype];Xbox 360;2009;Radical Entertainment;1.31;0.84;0.35;0.0;0.12;7th Gen;Home Console;Microsoft;[prototype]
A Boy and His Blob;Wii;2009;WayForward Technologies;0.21;0.18;0.01;0.0;0.02;7th Gen;Home Console;Nintendo;a boy and his blob
A Bug's Life;Nintendo 64;1999;Traveller's Tales;0.63;0.49;0.13;0.0;0.01;5th Gen;Home Console;Nintendo;a bugs life
A Bug's Life;PlayStation;1998;Traveller's Tales;2.79;1.96;0.72;0.0;0.11;5th Gen;Home Console;Sony;a bugs life
A Collection of Activision Classic Games for the Atari 2600;PlayStation;1998;Livesay Technologies, Inc.;1.37;0.76;0.52;0.0;0.09;5th Gen;Home Console;Sony;a collection of activision classic games for the atari 2600
A Collection of Classic Games from the Intellivision;PlayStation;1999;;0.31;0.17;0.12;0.0;0.02;5th Gen;Home Console;Sony;a collection of classic games from the intellivision
A Collection of Intellivision Classic Games;PlayStation;1999;LTI;0.31;0.17;0.12;0.0;0.02;5th Gen;Home Console;Sony;a collection of intellivision classic games
A-Train;PlayStation;1996;ArtDink;0.08;0.02;0.01;0.04;0.01;5th Gen;Home Console;Sony;a train
A Way Out;PlayStation 4;2018;Hazelight;0.47;0.23;0.16;0.0;0.08;8th Gen;Home Console;Sony;a way out
A Way Out;Xbox One;2018;Hazelight;0.24;0.17;0.05;0.0;0.02;8th Gen;Home Console;Microsoft;a way out
ABBA: You Can Dance;Wii;2011;Ubisoft;0.78;0.18;0.5;0.0;0.1;7th Gen;Home Console;Nintendo;abba you can dance
AC/DC LIVE: Rock Band Track Pack;PlayStation 2;2008;Harmonix Music Systems;0.16;0.08;0.06;0.0;0.02;6th Gen;Home Console;Sony;ac/dc live rock band track pack
AC/DC LIVE: Rock Band Track Pack;PlayStation 3;2008;Harmonix Music Systems;0.24;0.21;0.01;0.0;0.02;7th Gen;Home Console;Sony;ac/dc live rock band track pack
Academy of Champions: Soccer;Wii;2009;Ubisoft Vancouver;0.12;0.09;0.02;0.0;0.01;7th Gen;Home Console;Nintendo;academy of champions soccer
Accel World vs. Sword Art Online: Millennium Twilight;PlayStation 4;2017;Namco Bandai Games;0.1;0.0;0.03;0.06;0.01;8th Gen;Home Console;Sony;accel world vs. sword art online millennium twilight
Ace Attorney Investigations: Miles Edgeworth;Nintendo DS;2009;Capcom;0.76;0.27;0.15;0.3;0.04;7th Gen;Handheld;Nintendo;ace attorney investigations miles edgeworth
Ace Combat 04: Shattered Skies;PlayStation 2;2001;Namco;3.17;2.06;0.56;0.38;0.17;6th Gen;Home Console;Sony;ace combat 04 shattered skies
Ace Combat 2;PlayStation;1997;Namco;0.89;0.16;0.11;0.56;0.06;5th Gen;Home Console;Sony;ace combat 2
Ace Combat 3: Electrosphere;PlayStation;1999;;0.82;0.22;0.15;0.4;0.05;5th Gen;Home Console;Sony;ace combat 3 electrosphere
Ace Combat 5: The Unsung War;PlayStation 2;2004;Project ACES;1.72;0.88;0.34;0.32;0.18;6th Gen;Home Console;Sony;ace combat 5 the unsung war
Ace Combat 6: Fires of Liberation;Xbox 360;2007;Namco Bandai Games;1.01;0.69;0.04;0.22;0.06;7th Gen;Home Console;Microsoft;ace combat 6 fires of liberation
Ace Combat: Assault Horizon;PlayStation 3;2011;Project ACES;0.75;0.3;0.16;0.22;0.07;7th Gen;Home Console;Sony;ace combat assault horizon
Ace Combat: Assault Horizon;Xbox 360;2011;Project ACES;0.49;0.3;0.12;0.03;0.04;7th Gen;Home Console;Microsoft;ace combat assault horizon
Ace Combat: Assault Horizon Legacy;Nintendo 3DS;2011;Namco Bandai Games;0.25;0.1;0.06;0.08;0.01;8th Gen;Handheld;Nintendo;ace combat assault horizon legacy
Ace Combat: Joint Assault;PlayStation Portable;2010;Project ACES;0.29;0.06;0.05;0.15;0.03;6th Gen;Handheld;Sony;ace combat joint assault
Ace Combat X: Skies of Deception;PlayStation Portable;2006;Bandai Namco Games;0.99;0.37;0.31;0.12;0.19;6th Gen;Handheld;Sony;ace combat x skies of deception
Ace Combat Zero: The Belkan War;PlayStation 2;2006;Namco;0.51;0.15;0.12;0.2;0.04;6th Gen;Home Console;Sony;ace combat zero the belkan war
Action Bass;PlayStation;2000;Unknown;1.14;0.64;0.43;0.0;0.07;5th Gen;Home Console;Sony;action bass
Active Health with Carol Vorderman;Nintendo DS;2009;Fuse Games Limited;0.19;0.0;0.18;0.0;0.01;7th Gen;Handheld;Nintendo;active health with carol vorderman
Active Life: Extreme Challenge;Wii;2009;High Horse Entertainment;0.48;0.15;0.27;0.0;0.06;7th Gen;Home Console;Nintendo;active life extreme challenge
Active Life: Magical Carnival;Wii;2011;Ganbarion;0.04;0.03;0.01;0.0;0.0;7th Gen;Home Console;Nintendo;active life magical carnival
Active Life: Outdoor Challenge;Wii;2008;High Horse Entertainment;1.56;0.79;0.44;0.19;0.14;7th Gen;Home Console;Nintendo;active life outdoor challenge
Activision Anthology;PlayStation 2;2002;Contraband Entertainment;0.5;0.25;0.19;0.0;0.06;6th Gen;Home Console;Sony;activision anthology
Actua Tennis;PlayStation;1998;Gremlin Interactive;0.13;0.07;0.05;0.0;0.01;5th Gen;Home Console;Sony;actua tennis
Adidas Power Soccer;PlayStation;1996;Shen Studios;0.03;0.02;0.01;0.0;0.0;5th Gen;Home Console;Sony;adidas power soccer
Adidas Power Soccer 98;PlayStation;1998;Shen Studios;0.02;0.01;0.01;0.0;0.0;5th Gen;Home Console;Sony;adidas power soccer 98
Adrenalin Misfits;Xbox 360;2010;Konami;0.15;0.12;0.02;0.0;0.01;7th Gen;Home Console;Microsoft;adrenalin misfits
Advance Wars: Days of Ruin;Nintendo DS;2008;Intelligent Systems;0.61;0.43;0.13;0.0;0.05;7th Gen;Handheld;Nintendo;advance wars days of ruin
Advance Wars: Dual Strike;Nintendo DS;2005;Intelligent Systems;0.4;0.3;0.03;0.04;0.03;7th Gen;Handheld;Nintendo;advance wars dual strike
Advent Rising;Xbox;2005;GlyphX Games;0.13;0.1;0.03;0.0;0.0;6th Gen;Home Console;Microsoft;advent rising
Adventure Time: Explore the Dungeon Because I Don't Know!;Nintendo 3DS;2013;Way Forward;0.15;0.1;0.04;0.0;0.01;8th Gen;Handheld;Nintendo;adventure time explore the dungeon because i dont know!
Adventure Time: Explore the Dungeon Because I Don't Know!;PlayStation 3;2013;Way Forward;0.05;0.02;0.02;0.0;0.01;7th Gen;Home Console;Sony;adventure time explore the dungeon because i dont know!
Adventure Time: Explore the Dungeon Because I Don't Know!;Wii U;2013;Way Forward;0.04;0.02;0.02;0.0;0.0;8th Gen;Home Console;Nintendo;adventure time explore the dungeon because i dont know!
Adventure Time: Explore the Dungeon Because I Don't Know!;Xbox 360;2013;Way Forward;0.08;0.03;0.04;0.0;0.01;7th Gen;Home Console;Microsoft;adventure time explore the dungeon because i dont know!
Adventure Time: Finn & Jake Investigations;Nintendo 3DS;2015;Vicious Cycle;0.1;0.03;0.06;0.0;0.01;8th Gen;Handheld;Nintendo;adventure time finn & jake investigations
Adventure Time: Finn & Jake Investigations;PlayStation 3;2015;Vicious Cycle;0.12;0.04;0.06;0.0;0.02;7th Gen;Home Console;Sony;adventure time finn & jake investigations
Adventure Time: Finn & Jake Investigations;PlayStation 4;2015;Vicious Cycle;0.14;0.07;0.05;0.0;0.02;8th Gen;Home Console;Sony;adventure time finn & jake investigations
Adventure Time: Finn & Jake Investigations;Wii U;2015;Vicious Cycle;0.07;0.04;0.02;0.0;0.01;8th Gen;Home Console;Nintendo;adventure time finn & jake investigations
Adventure Time: Finn & Jake Investigations;Xbox 360;2015;Vicious Cycle;0.13;0.05;0.07;0.0;0.01;7th Gen;Home Console;Microsoft;adventure time finn & jake investigations
Adventure Time: Finn & Jake Investigations;Xbox One;2015;Vicious Cycle;0.07;0.04;0.02;0.0;0.01;8th Gen;Home Console;Microsoft;adventure time finn & jake investigations
Adventure Time: Pirates of the Enchiridion;Switch;2018;Outright Games;0.03;0.01;0.02;0.0;0.0;8th Gen;Hybrid;Nintendo;adventure time pirates of the enchiridion
Adventure Time: The Secret of the Nameless Kingdom;Nintendo 3DS;2014;WayForward Technologies;0.08;0.0;0.08;0.0;0.0;8th Gen;Handheld;Nintendo;adventure time the secret of the nameless kingdom
Adventure Time: The Secret of the Nameless Kingdom;Xbox 360;2014;Way Forward;0.09;0.01;0.08;0.0;0.0;7th Gen;Home Console;Microsoft;adventure time the secret of the nameless kingdom
Aegis of Earth: Protonovus Assault;PlayStation 3;2016;Acquire;0.04;0.02;0.01;0.0;0.01;7th Gen;Home Console;Sony;aegis of earth protonovus assault
Aegis of Earth: Protonovus Assault;PlayStation 4;2016;Acquire;0.05;0.03;0.01;0.0;0.01;8th Gen;Home Console;Sony;aegis of earth protonovus assault
Aegis of Earth: Protonovus Assault;PlayStation Vita;2016;Acquire;0.04;0.01;0.02;0.0;0.01;8th Gen;Handheld;Sony;aegis of earth protonovus assault
Aeon Flux;PlayStation 2;2005;Terminal Reality;0.05;0.02;0.02;0.0;0.01;6th Gen;Home Console;Sony;aeon flux
Aero Elite: Combat Academy;PlayStation 2;2003;Sega-AM2;0.08;0.04;0.03;0.0;0.01;6th Gen;Home Console;Sony;aero elite combat academy
Aero Gauge;Nintendo 64;1998;Locomotive Games;0.07;0.06;0.01;0.0;0.0;5th Gen;Home Console;Nintendo;aero gauge
AeroFighters Assault;Nintendo 64;1997;Paradigm Entertainment;0.19;0.15;0.04;0.0;0.0;5th Gen;Home Console;Nintendo;aerofighters assault
Afro Samurai;PlayStation 3;2009;Namco Bandai Games;0.2;0.12;0.05;0.0;0.03;7th Gen;Home Console;Sony;afro samurai
Afro Samurai;Xbox 360;2009;Namco Bandai Games;0.23;0.16;0.05;0.0;0.02;7th Gen;Home Console;Microsoft;afro samurai
After Hours Athletes;PlayStation 3;2011;Sony Computer Entertainment;0.12;0.0;0.1;0.0;0.02;7th Gen;Home Console;Sony;after hours athletes
Agassi Tennis Generation;PlayStation 2;2003;Aqua Pacific;0.08;0.04;0.03;0.0;0.01;6th Gen;Home Console;Sony;agassi tennis generation
Agatha Christie: And Then There Were None;Wii;2008;AWE Games;0.08;0.06;0.01;0.0;0.01;7th Gen;Home Console;Nintendo;agatha christie and then there were none
Agatha Christie: Evil Under the Sun;Wii;2008;AWE Games;0.09;0.06;0.02;0.0;0.01;7th Gen;Home Console;Nintendo;agatha christie evil under the sun
Agatha Christie: The ABC Murders;Nintendo DS;2009;DreamCatcher Interactive;0.1;0.08;0.01;0.0;0.01;7th Gen;Handheld;Nintendo;agatha christie the abc murders
Agatha Christie's The ABC Murders;PlayStation 4;2016;Artefacts Studio;0.09;0.05;0.02;0.0;0.02;8th Gen;Home Console;Sony;agatha christies the abc murders
Age of Empires: Mythologies;Nintendo DS;2008;Griptonite;0.21;0.16;0.03;0.0;0.02;7th Gen;Handheld;Nintendo;age of empires mythologies
Age of Empires: The Age of Kings;Nintendo DS;2006;Backbone Entertainment;0.22;0.18;0.02;0.0;0.02;7th Gen;Handheld;Nintendo;age of empires the age of kings
Agents of Mayhem;PlayStation 4;2017;Volition Inc.;0.19;0.08;0.08;0.0;0.03;8th Gen;Home Console;Sony;agents of mayhem
Agents of Mayhem;Xbox One;2017;Volition Inc.;0.11;0.07;0.03;0.0;0.01;8th Gen;Home Console;Microsoft;agents of mayhem
Aggressive Inline;GameCube;2002;Z-Axis, Ltd.;0.05;0.04;0.01;0.0;0.0;6th Gen;Home Console;Nintendo;aggressive inline
Aggressive Inline;PlayStation 2;2002;Z-Axis, Ltd.;0.34;0.17;0.13;0.0;0.04;6th Gen;Home Console;Sony;aggressive inline
Aggressive Inline;Xbox;2002;Z-Axis, Ltd.;0.06;0.05;0.01;0.0;0.0;6th Gen;Home Console;Microsoft;aggressive inline
Agile Warrior F-111X;PlayStation;1995;Black Ops Entertainment;0.14;0.08;0.05;0.0;0.01;5th Gen;Home Console;Sony;agile warrior f 111x
Aidyn Chronicles: The First Mage;Nintendo 64;2001;H2O Interactive;0.1;0.08;0.02;0.0;0.0;5th Gen;Home Console;Nintendo;aidyn chronicles the first mage
Air Combat;PlayStation;1995;Namco;1.82;0.92;0.33;0.52;0.05;5th Gen;Home Console;Sony;air combat
Air Conflicts: Secret Wars;PlayStation 3;2011;Games Farm;0.19;0.1;0.06;0.0;0.03;7th Gen;Home Console;Sony;air conflicts secret wars
Air Conflicts: Secret Wars;Xbox 360;2011;Games Farm;0.09;0.06;0.02;0.0;0.01;7th Gen;Home Console;Microsoft;air conflicts secret wars
Airblade;PlayStation 2;2002;Criterion Games;0.23;0.11;0.09;0.0;0.03;6th Gen;Home Console;Sony;airblade
Airborne Troops: Countdown to D-Day;PlayStation 2;2005;WideScreen Games;0.13;0.06;0.05;0.0;0.02;6th Gen;Home Console;Sony;airborne troops countdown to d day
AirForce Delta Storm;Xbox;2001;KCE Studios;0.19;0.14;0.04;0.0;0.01;6th Gen;Home Console;Microsoft;airforce delta storm
AirForce Delta Strike;PlayStation 2;2004;KCE Studios;0.1;0.05;0.04;0.0;0.01;6th Gen;Home Console;Sony;airforce delta strike
Akiba's Trip: Undead & Undressed;PlayStation 3;2014;Acquire;0.13;0.06;0.01;0.04;0.02;7th Gen;Home Console;Sony;akibas trip undead & undressed
Akiba's Trip: Undead & Undressed;PlayStation Vita;2014;Acquire;0.16;0.04;0.02;0.08;0.02;8th Gen;Handheld;Sony;akibas trip undead & undressed
Akuji the Heartless;PlayStation;1998;Crystal Dynamics;0.12;0.07;0.04;0.0;0.01;5th Gen;Home Console;Sony;akuji the heartless
Alan Wake;Xbox 360;2010;Remedy Entertainment;1.33;0.66;0.5;0.05;0.12;7th Gen;Home Console;Microsoft;alan wake
Alexi Lalas International Soccer;PlayStation;1999;Z-Axis;0.07;0.04;0.03;0.0;0.0;5th Gen;Home Console;Sony;alexi lalas international soccer
Alfa Romeo Racing Italiano;PlayStation 2;2006;Milestone;0.02;0.01;0.01;0.0;0.0;6th Gen;Home Console;Sony;alfa romeo racing italiano
Alias;PlayStation 2;2004;Acclaim Studios Cheltenham;0.1;0.05;0.04;0.0;0.01;6th Gen;Home Console;Sony;alias
Alias;Xbox;2004;Acclaim Studios Cheltenham;0.05;0.04;0.01;0.0;0.0;6th Gen;Home Console;Microsoft;alias
Alice in Wonderland;Nintendo DS;2010;Etranges Libellules;0.48;0.25;0.18;0.0;0.05;7th Gen;Handheld;Nintendo;alice in wonderland
Alice in Wonderland;Wii;2010;Etranges Libellules;0.51;0.25;0.21;0.0;0.05;7th Gen;Home Console;Nintendo;alice in wonderland
Alice: Madness Returns;PlayStation 3;2011;Spicy Horse;0.58;0.22;0.24;0.04;0.08;7th Gen;Home Console;Sony;alice madness returns
Alice: Madness Returns;Xbox 360;2011;Spicy Horse;0.5;0.27;0.15;0.04;0.04;7th Gen;Home Console;Microsoft;alice madness returns
Alien Breed Trilogy;Xbox 360;2011;Team17 Software;0.02;0.0;0.02;0.0;0.0;7th Gen;Home Console;Microsoft;alien breed trilogy
Alien Hominid;GameCube;2004;The Behemoth;0.09;0.07;0.02;0.0;0.0;6th Gen;Home Console;Nintendo;alien hominid
Alien Hominid;PlayStation 2;2004;The Behemoth;0.1;0.05;0.04;0.0;0.01;6th Gen;Home Console;Sony;alien hominid
Alien: Isolation;PlayStation 3;2014;Creative Assembly;0.33;0.12;0.16;0.0;0.05;7th Gen;Home Console;Sony;alien isolation
Alien: Isolation;PlayStation 4;2014;Creative Assembly;1.09;0.29;0.59;0.05;0.16;8th Gen;Home Console;Sony;alien isolation
Alien: Isolation;Xbox 360;2014;Creative Assembly;0.3;0.16;0.11;0.0;0.03;7th Gen;Home Console;Microsoft;alien isolation
Alien: Isolation;Xbox One;2014;Creative Assembly;0.52;0.23;0.25;0.0;0.04;8th Gen;Home Console;Microsoft;alien isolation
Alien Resurrection;PlayStation;2000;Argonaut Games;0.16;0.09;0.06;0.0;0.01;5th Gen;Home Console;Sony;alien resurrection
Alien Trilogy;PlayStation;1997;Probe Entertainment Limited;0.47;0.24;0.16;0.04;0.03;5th Gen;Home Console;Sony;alien trilogy
Aliens: Colonial Marines;PlayStation 3;2013;Gearbox Software;0.63;0.2;0.33;0.0;0.1;7th Gen;Home Console;Sony;aliens colonial marines
Aliens: Colonial Marines;Xbox 360;2013;Gearbox Software;0.78;0.36;0.35;0.0;0.07;7th Gen;Home Console;Microsoft;aliens colonial marines
Aliens: Infestation;Nintendo DS;2011;Way Forward;0.16;0.09;0.05;0.0;0.02;7th Gen;Handheld;Nintendo;aliens infestation
