Name;Platform_norm;Year;developer;Global_Sales;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Generation;Console_Type;Company;Name_norm
Madagascar;GameCube;2005;Toys for Bob;0.67;0.52;0.13;0.0;0.02;6th Gen;Home Console;Nintendo;madagascar
Madagascar;Nintendo DS;2005;Vicarious Visions;0.3;0.25;0.03;0.0;0.02;7th Gen;Handheld;Nintendo;madagascar
Madagascar;PlayStation 2;2005;Toys for Bob;1.3;0.78;0.45;0.0;0.07;6th Gen;Home Console;Sony;madagascar
Madagascar;Xbox;2005;Toys for Bob;0.28;0.21;0.06;0.0;0.01;6th Gen;Home Console;Microsoft;madagascar
Madagascar: Escape 2 Africa;Nintendo DS;2008;Griptonite Games;0.74;0.41;0.25;0.0;0.08;7th Gen;Handheld;Nintendo;madagascar escape 2 africa
Madagascar: Escape 2 Africa;PlayStation 3;2008;Toys for Bob;0.23;0.12;0.08;0.0;0.03;7th Gen;Home Console;Sony;madagascar escape 2 africa
Madagascar: Escape 2 Africa;Wii;2008;Toys for Bob;0.55;0.31;0.18;0.0;0.06;7th Gen;Home Console;Nintendo;madagascar escape 2 africa
Madagascar: Escape 2 Africa;Xbox 360;2008;Toys for Bob;0.25;0.12;0.1;0.0;0.03;7th Gen;Home Console;Microsoft;madagascar escape 2 africa
Madden Football 64;Nintendo 64;1997;EA Tiburon;0.86;0.81;0.04;0.0;0.01;5th Gen;Home Console;Nintendo;madden football 64
Madden NFL 06;GameCube;2005;EA Tiburon;0.57;0.44;0.11;0.0;0.02;6th Gen;Home Console;Nintendo;madden nfl 06
Madden NFL 06;PlayStation 2;2005;EA Tiburon;4.91;3.98;0.26;0.01;0.66;6th Gen;Home Console;Sony;madden nfl 06
Madden NFL 06;Xbox;2005;EA Tiburon;1.86;1.75;0.03;0.0;0.08;6th Gen;Home Console;Microsoft;madden nfl 06
Madden NFL 07;GameCube;2006;EA Tiburon;0.63;0.48;0.13;0.0;0.02;6th Gen;Home Console;Nintendo;madden nfl 07
Madden NFL 07;PlayStation 2;2006;EA Tiburon;4.49;3.63;0.24;0.01;0.61;6th Gen;Home Console;Sony;madden nfl 07
Madden NFL 07;PlayStation Portable;2006;EA Tiburon;0.84;0.77;0.03;0.0;0.04;6th Gen;Handheld;Sony;madden nfl 07
