;Name;Platform_norm;Year;developer;Global_Sales;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Generation;Console_Type;Company;Name_norm
13633;Spider-Man: Edge of Time;Xbox 360;2011;Beenox;0.25;0.18;0.05;0.0;0.02;7th Gen;Home Console;Microsoft;spider man edge of time
13635;Spider-Man: Friend or Foe;PlayStation 2;2007;Next Level Games;0.37;0.31;0.01;0.0;0.05;6th Gen;Home Console;Sony;spider man friend or foe
13638;Spider-Man: Friend or Foe;Xbox 360;2007;Next Level Games;0.29;0.26;0.01;0.0;0.02;7th Gen;Home Console;Microsoft;spider man friend or foe
13639;Spider-Man: Shattered Dimensions;Nintendo DS;2010;Beenox Studios;0.19;0.17;0.01;0.0;0.01;7th Gen;Handheld;Nintendo;spider man shattered dimensions
13640;Spider-Man: Shattered Dimensions;PlayStation 3;2010;Beenox Studios;0.44;0.26;0.13;0.0;0.05;7th Gen;Home Console;Sony;spider man shattered dimensions
13641;Spider-Man: Shattered Dimensions;Wii;2010;Beenox Studios;0.23;0.12;0.09;0.0;0.02;7th Gen;Home Console;Nintendo;spider man shattered dimensions
13642;Spider-Man: Shattered Dimensions;Xbox 360;2010;Beenox Studios;0.36;0.24;0.09;0.0;0.03;7th Gen;Home Console;Microsoft;spider man shattered dimensions
13643;Spider-Man: The Movie;GameCube;2002;Treyarch;1.18;0.86;0.27;0.01;0.04;6th Gen;Home Console;Nintendo;spider man the movie
13644;Spider-Man: The Movie;PlayStation 2;2002;Treyarch;4.48;2.71;1.51;0.03;0.23;6th Gen;Home Console;Sony;spider man the movie
13645;Spider-Man: The Movie;Xbox;2002;Treyarch;1.4;1.07;0.28;0.0;0.05;6th Gen;Home Console;Microsoft;spider man the movie
13647;Spider-Man: Web of Shadows;PlayStation 2;2008;Shaba Games / Treyarch;0.21;0.1;0.08;0.0;0.03;6th Gen;Home Console;Sony;spider man web of shadows
13648;Spider-Man: Web of Shadows;PlayStation 3;2008;Shaba Games / Treyarch;0.26;0.2;0.04;0.0;0.02;7th Gen;Home Console;Sony;spider man web of shadows
13649;Spider-Man: Web of Shadows;Wii;2008;Shaba Games / Treyarch;0.25;0.22;0.01;0.0;0.02;7th Gen;Home Console;Nintendo;spider man web of shadows
13650;Spider-Man: Web of Shadows;Xbox 360;2008;Shaba Games / Treyarch;0.41;0.36;0.02;0.0;0.03;7th Gen;Home Console;Microsoft;spider man web of shadows
13651;Spider-Man: Web of Shadows - Amazing Allies Edition;PlayStation Portable;2008;Shaba Games;0.16;0.12;0.02;0.0;0.02;6th Gen;Handheld;Sony;spider man web of shadows amazing allies edition
13653;Spin Jam;PlayStation;2000;H2O Entertainment;0.31;0.17;0.12;0.0;0.02;5th Gen;Home Console;Sony;spin jam
13655;Spintires: MudRunner;PlayStation 4;2017;Saber Interactive;0.28;0.11;0.12;0.0;0.05;8th Gen;Home Console;Sony;spintires mudrunner
13656;Spintires: MudRunner;Xbox One;2017;Saber Interactive;0.14;0.11;0.02;0.0;0.01;8th Gen;Home Console;Microsoft;spintires mudrunner
13660;Spirit Camera: The Cursed Memoir;Nintendo 3DS;2012;Tecmo Koei Games;0.25;0.15;0.02;0.06;0.02;8th Gen;Handheld;Nintendo;spirit camera the cursed memoir
13663;SplashDown;PlayStation 2;2001;Rainbow Studios;0.7;0.34;0.27;0.0;0.09;6th Gen;Home Console;Sony;splashdown
13664;SplashDown;Xbox;2002;Rainbow Studios;0.11;0.09;0.02;0.0;0.0;6th Gen;Home Console;Microsoft;splashdown
13665;SplashDown: Rides Gone Wild;PlayStation 2;2003;Rainbow Studios;0.49;0.24;0.19;0.0;0.06;6th Gen;Home Console;Sony;splashdown rides gone wild
13666;Splat Renegade Paintball;Xbox;2005;Cat Daddy Games;0.05;0.04;0.01;0.0;0.0;6th Gen;Home Console;Microsoft;splat renegade paintball
13667;Splatoon;Wii U;2015;Nintendo EAD;4.57;1.55;1.15;1.44;0.43;8th Gen;Home Console;Nintendo;splatoon
13668;Splatterhouse;PlayStation 3;2010;BottleRocket;0.17;0.13;0.02;0.0;0.02;7th Gen;Home Console;Sony;splatterhouse
13669;Splatterhouse;Xbox 360;2010;BottleRocket;0.18;0.14;0.03;0.0;0.01;7th Gen;Home Console;Microsoft;splatterhouse
13670;Split/Second;PlayStation 3;2010;Black Rock Studio;0.73;0.31;0.3;0.01;0.11;7th Gen;Home Console;Sony;split/second
13671;Split/Second;PlayStation Portable;2010;Black Rock Studio;0.13;0.09;0.02;0.0;0.02;6th Gen;Handheld;Sony;split/second
13672;Split/Second;Xbox 360;2010;Black Rock Studio;0.61;0.32;0.23;0.0;0.06;7th Gen;Home Console;Microsoft;split/second
13674;SpongeBob SquarePants Featuring Nicktoons: Globs of Doom;PlayStation 2;2008;Incinerator Studios;0.58;0.29;0.22;0.0;0.07;6th Gen;Home Console;Sony;spongebob squarepants featuring nicktoons globs of doom
13676;SpongeBob SquarePants featuring Nicktoons: Globs of Doom;PlayStation 2;2008;;0.58;0.29;0.22;0.0;0.07;6th Gen;Home Console;Sony;spongebob squarepants featuring nicktoons globs of doom
13678;SpongeBob SquarePants: Battle for Bikini Bottom;GameCube;2003;Heavy Iron Studios;0.96;0.74;0.19;0.0;0.03;6th Gen;Home Console;Nintendo;spongebob squarepants battle for bikini bottom
13679;SpongeBob SquarePants: Battle for Bikini Bottom;PlayStation 2;2003;Heavy Iron Studios;1.67;1.08;0.45;0.0;0.14;6th Gen;Home Console;Sony;spongebob squarepants battle for bikini bottom
13680;SpongeBob SquarePants: Battle for Bikini Bottom;Xbox;2003;Heavy Iron Studios;0.57;0.45;0.1;0.0;0.02;6th Gen;Home Console;Microsoft;spongebob squarepants battle for bikini bottom
13681;SpongeBob SquarePants: Creature from the Krusty Krab;GameCube;2006;;0.33;0.25;0.07;0.0;0.01;6th Gen;Home Console;Nintendo;spongebob squarepants creature from the krusty krab
13683;SpongeBob SquarePants: Creature from the Krusty Krab;Wii;2006;Blitz Games;0.5;0.44;0.02;0.0;0.04;7th Gen;Home Console;Nintendo;spongebob squarepants creature from the krusty krab
13684;SpongeBob SquarePants: Lights, Camera, Pants!;GameCube;2005;THQ Australia Studios Pty Ltd.;0.44;0.34;0.09;0.0;0.01;6th Gen;Home Console;Nintendo;spongebob squarepants lights, camera, pants!
13685;SpongeBob SquarePants: Lights, Camera, Pants!;PlayStation 2;2005;THQ Australia Studios Pty Ltd.;0.44;0.37;0.01;0.0;0.06;6th Gen;Home Console;Sony;spongebob squarepants lights, camera, pants!
