;Name;Platform_norm;Year;developer;Global_Sales;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Generation;Console_Type;Company;Name_norm
9288;Vanquish;Xbox 360;2010;PlatinumGames;0.42;0.19;0.16;0.03;0.04;7th Gen;Home Console;Microsoft;vanquish
9289;Vehicular Combat League presents Motor Mayhem;PlayStation 2;2001;Beyond Games;0.16;0.08;0.06;0.0;0.02;6th Gen;Home Console;Sony;vehicular combat league presents motor mayhem
9290;Velvet Assassin;Xbox 360;2009;Replay Studios;0.18;0.14;0.02;0.01;0.01;7th Gen;Home Console;Microsoft;velvet assassin
9291;Venetica;PlayStation 3;2011;DECK13 Interactive;0.11;0.07;0.03;0.0;0.01;7th Gen;Home Console;Sony;venetica
9292;Venetica;PlayStation 3;2010;;0.13;0.07;0.04;0.0;0.02;7th Gen;Home Console;Sony;venetica
9293;Venetica;Xbox 360;2011;DECK13 Interactive;0.13;0.09;0.03;0.0;0.01;7th Gen;Home Console;Microsoft;venetica
9294;Vexx;GameCube;2003;Acclaim Studios Austin;0.06;0.05;0.01;0.0;0.0;6th Gen;Home Console;Nintendo;vexx
9295;Vexx;PlayStation 2;2003;Acclaim Studios Austin;0.24;0.12;0.09;0.0;0.03;6th Gen;Home Console;Sony;vexx
9296;Vexx;Xbox;2003;Acclaim Studios Austin;0.1;0.08;0.02;0.0;0.0;6th Gen;Home Console;Microsoft;vexx
9297;Victorious Boxers: Ippo's Road to Glory;PlayStation 2;2001;New;0.48;0.05;0.04;0.38;0.01;6th Gen;Home Console;Sony;victorious boxers ippos road to glory
9298;Victorious: Hollywood Arts Debut;Nintendo DS;2011;Namco Bandai Games;0.15;0.13;0.01;0.0;0.01;7th Gen;Handheld;Nintendo;victorious hollywood arts debut
9299;Vietcong: Purple Haze;PlayStation 2;2004;Coyote Developments;0.18;0.09;0.07;0.0;0.02;6th Gen;Home Console;Sony;vietcong purple haze
9300;Vietcong: Purple Haze;Xbox;2004;Coyote Developments;0.08;0.06;0.02;0.0;0.0;6th Gen;Home Console;Microsoft;vietcong purple haze
9301;Viewpoint;PlayStation;1995;Visual Concepts;0.07;0.04;0.03;0.0;0.0;5th Gen;Home Console;Sony;viewpoint
9302;Viewtiful Joe;GameCube;2003;Clover Studio;0.62;0.38;0.1;0.12;0.02;6th Gen;Home Console;Nintendo;viewtiful joe
9303;Viewtiful Joe;PlayStation 2;2004;Clover Studio;0.29;0.14;0.11;0.0;0.04;6th Gen;Home Console;Sony;viewtiful joe
9304;Viewtiful Joe 2;GameCube;2004;Clover Studio;0.22;0.17;0.04;0.0;0.01;6th Gen;Home Console;Nintendo;viewtiful joe 2
9305;Viewtiful Joe 2;PlayStation 2;2004;Clover Studio;0.21;0.1;0.08;0.0;0.03;6th Gen;Home Console;Sony;viewtiful joe 2
9306;Viewtiful Joe: Red Hot Rumble;GameCube;2005;Clover Studio;0.05;0.04;0.01;0.0;0.0;6th Gen;Home Console;Nintendo;viewtiful joe red hot rumble
9307;Vigilante 8;Nintendo 64;1998;Luxoflux, Inc.;0.31;0.25;0.06;0.0;0.0;5th Gen;Home Console;Nintendo;vigilante 8
9308;Vigilante 8;PlayStation;1998;Luxoflux, Inc.;1.23;0.68;0.47;0.0;0.08;5th Gen;Home Console;Sony;vigilante 8
9309;Vigilante 8: 2nd Offense;Nintendo 64;2000;Luxoflux, Inc.;0.11;0.09;0.02;0.0;0.0;5th Gen;Home Console;Nintendo;vigilante 8 2nd offense
9310;Vigilante 8: 2nd Offense;PlayStation;1999;Luxoflux, Inc.;0.48;0.27;0.18;0.0;0.03;5th Gen;Home Console;Sony;vigilante 8 2nd offense
9311;Viking: Battle for Asgard;PlayStation 3;2008;The Creative Assembly;0.39;0.14;0.18;0.0;0.07;7th Gen;Home Console;Sony;viking battle for asgard
