;Name;Platform_norm;Year;developer;Global_Sales;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Generation;Console_Type;Company;Name_norm
16071;Twilight Syndrome: Kinjiratera Toshi Densetsu;Nintendo DS;2008;Spike;0.04;0.0;0.0;0.04;0.0;7th Gen;Handheld;Nintendo;twilight syndrome kinjiratera toshi densetsu
16072;Twin Strike: Operation Thunder;Wii;2008;NA.P.S. Team SNC;0.04;0.04;0.0;0.0;0.0;7th Gen;Home Console;Nintendo;twin strike operation thunder
16073;Twinkle * Crusaders GoGo!;PlayStation Portable;2010;ASCII Media Works;0.02;0.0;0.0;0.02;0.0;6th Gen;Handheld;Sony;twinkle * crusaders gogo!
16074;Twisted Edge Extreme Snowboarding;Nintendo 64;1998;Boss Game Studios;0.2;0.16;0.04;0.0;0.0;5th Gen;Home Console;Nintendo;twisted edge extreme snowboarding
16075;Twisted Metal;PlayStation;1995;SingleTrac;1.56;1.32;0.19;0.0;0.05;5th Gen;Home Console;Sony;twisted metal
16076;Twisted Metal;PlayStation 3;2012;Eat Sleep Play;0.35;0.32;0.0;0.0;0.03;7th Gen;Home Console;Sony;twisted metal
16077;Twisted Metal (2012);PlayStation 3;2012;Eat Sleep Play;0.83;0.67;0.07;0.0;0.09;7th Gen;Home Console;Sony;twisted metal (2012)
16078;Twisted Metal 2;PlayStation;1996;SingleTrac;2.44;2.12;0.25;0.0;0.07;5th Gen;Home Console;Sony;twisted metal 2
16079;Twisted Metal 4;PlayStation;1999;989 Studios;1.27;1.07;0.16;0.0;0.04;5th Gen;Home Console;Sony;twisted metal 4
16080;Twisted Metal III;PlayStation;1998;989 Studios;1.73;1.48;0.2;0.0;0.05;5th Gen;Home Console;Sony;twisted metal iii
16081;Twisted Metal: Black;PlayStation 2;2001;Incognito Inc.;1.41;1.19;0.17;0.0;0.05;6th Gen;Home Console;Sony;twisted metal black
16082;Twisted Metal: Head On;PlayStation Portable;2005;Incognito Inc.;0.77;0.71;0.0;0.0;0.06;6th Gen;Handheld;Sony;twisted metal head on
16083;Twisted Metal: Small Brawl;PlayStation;2001;Incognito Inc.;0.18;0.1;0.07;0.0;0.01;5th Gen;Home Console;Sony;twisted metal small brawl
16084;Twister Mania;Xbox 360;2011;Naked Sky;0.12;0.1;0.01;0.0;0.01;7th Gen;Home Console;Microsoft;twister mania
16085;Two Worlds;Xbox 360;2007;Reality Pump;0.7;0.41;0.22;0.0;0.07;7th Gen;Home Console;Microsoft;two worlds
16086;Two Worlds II;PlayStation 3;2011;Reality Pump;0.46;0.26;0.1;0.06;0.04;7th Gen;Home Console;Sony;two worlds ii
16087;Two Worlds II;Xbox 360;2011;Reality Pump;0.54;0.4;0.07;0.03;0.04;7th Gen;Home Console;Microsoft;two worlds ii
16088;Ty the Tasmanian Tiger;GameCube;2002;Krome Studios;0.27;0.21;0.05;0.0;0.01;6th Gen;Home Console;Nintendo;ty the tasmanian tiger
