;Name;Platform_norm;Year;developer;Global_Sales;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Generation;Console_Type;Company
16187;Unchained Blades;Nintendo 3DS;2011;;0.04;0.0;0.0;0.04;0.0;8th Gen;Handheld;Nintendo
16188;Unchained Blades;PlayStation Portable;2011;;0.06;0.0;0.0;0.06;0.0;6th Gen;Handheld;Sony
16189;Uncharted 2: Among Thieves;PlayStation 3;2009;Naughty Dog;6.73;3.28;2.22;0.21;1.02;7th Gen;Home Console;Sony
16190;Uncharted 3: Drake's Deception;PlayStation 3;2011;Naughty Dog;6.82;2.77;2.8;0.19;1.06;7th Gen;Home Console;Sony
16191;Uncharted 4: A Thief's End;PlayStation 4;2016;Naughty Dog;4.2;1.3;2.07;0.18;0.65;8th Gen;Home Console;Sony
16192;Uncharted: Drake's Fortune;PlayStation 3;2007;Naughty Dog;4.97;2.32;1.73;0.12;0.8;7th Gen;Home Console;Sony
16193;Uncharted: Golden Abyss;PlayStation Vita;2012;SCEA Bend Studio / Naughty Dog;1.62;0.53;0.71;0.13;0.25;8th Gen;Handheld;Sony
16194;Uncharted: Golden Abyss;PlayStation Vita;2011;;1.74;0.59;0.75;0.13;0.27;8th Gen;Handheld;Sony
16195;Uncharted: The Nathan Drake Collection;PlayStation 4;2015;Bluepoint Games;4.47;1.96;1.69;0.08;0.74;8th Gen;Home Console;Sony
16196;Undead Knights;PlayStation Portable;2009;Team Tachyon;0.13;0.05;0.01;0.06;0.01;6th Gen;Handheld;Sony
16197;Under Night In-Birth;PlayStation 3;2015;Ecole Software;0.15;0.07;0.01;0.05;0.02;7th Gen;Home Console;Sony
16198;Under Night In-Birth;PlayStation 3;2014;;0.14;0.06;0.02;0.04;0.02;7th Gen;Home Console;Sony
16199;Under Night In-Birth Exe:Latest;PlayStation 4;2018;Arc System Works;0.04;0.01;0.0;0.03;0.0;8th Gen;Home Console;Sony
16200;Under the Moon: Crescent;PlayStation 2;2009;Dimple Entertainment;0.01;0.0;0.0;0.01;0.0;6th Gen;Home Console;Sony
16201;Under the Skin;PlayStation 2;2004;Capcom Production Studio 4;0.02;0.01;0.01;0.0;0.0;6th Gen;Home Console;Sony
16202;Underground Pool;Nintendo DS;2007;FrontLine Studios;0.03;0.03;0.0;0.0;0.0;7th Gen;Handheld;Nintendo
16203;Undertale;PlayStation 4;2017;Toby Fox;0.01;0.0;0.0;0.01;0.0;8th Gen;Home Console;Sony
16204;Undertale;PlayStation Vita;2017;Toby Fox;0.01;0.0;0.0;0.01;0.0;8th Gen;Handheld;Sony
16205;Undertale;Switch;2018;Toby Fox;0.02;0.0;0.0;0.02;0.0;8th Gen;Hybrid;Nintendo
16206;Underwater Attack;Nintendo DS;2008;Cyber Planet Interactive;0.0;0.0;0.0;0.0;0.0;7th Gen;Handheld;Nintendo
16207;Unending Bloody Call;PlayStation Portable;2012;Unknown;0.01;0.0;0.0;0.01;0.0;6th Gen;Handheld;Sony
16208;Unison: Rebels of Rhythm & Dance;PlayStation 2;2001;Tecmo;0.05;0.02;0.02;0.0;0.01;6th Gen;Home Console;Sony
16209;Unit 13;PlayStation Vita;2012;Zipper Interactive;0.53;0.25;0.15;0.04;0.09;8th Gen;Handheld;Sony
16210;Universal Studios Theme Parks Adventure;GameCube;2001;Kemco;0.1;0.08;0.02;0.0;0.0;6th Gen;Home Console;Nintendo
16211;Universe at War: Earth Assault;Xbox 360;2008;Petroglyph Games;0.11;0.09;0.01;0.0;0.01;7th Gen;Home Console;Microsoft
16212;Unknown Soldier: Mokuba no Houkou;Nintendo DS;2008;Tamsoft;0.0;0.0;0.0;0.0;0.0;7th Gen;Handheld;Nintendo
16213;Unlimited Saga;PlayStation 2;2002;;0.77;0.1;0.08;0.56;0.03;6th Gen;Home Console;Sony
16214;Unou no Tatsujin: Soukai! Machigai Museum 2;Nintendo DS;2007;Bandai Namco Games;0.09;0.0;0.0;0.09;0.0;7th Gen;Handheld;Nintendo
16215;Unreal Championship;Xbox;2002;Digital Extremes;0.74;0.59;0.12;0.0;0.03;6th Gen;Home Console;Microsoft
16216;Unreal Championship 2: The Liandri Conflict;Xbox;2005;Epic Games;0.28;0.22;0.05;0.0;0.01;6th Gen;Home Console;Microsoft
16217;Unreal II: The Awakening;Xbox;2004;Tantalus Interactive;0.22;0.17;0.04;0.0;0.01;6th Gen;Home Console;Microsoft
16218;Unreal Tournament;PlayStation 2;2000;Epic Games;0.57;0.28;0.22;0.0;0.07;6th Gen;Home Console;Sony
16219;Unreal Tournament III;PlayStation 3;2007;Epic Games;0.67;0.33;0.24;0.0;0.1;7th Gen;Home Console;Sony
16220;Unreal Tournament III;Xbox 360;2008;Epic Games;0.48;0.25;0.17;0.01;0.05;7th Gen;Home Console;Microsoft
16221;Unsolved Crimes;Nintendo DS;2008;Now Production;0.05;0.04;0.01;0.0;0.0;7th Gen;Handheld;Nintendo
16222;Until Dawn;PlayStation 3;2014;Supermassive Games Ltd.;0.0;0.0;0.0;0.0;0.0;7th Gen;Home Console;Sony
16223;Until Dawn;PlayStation 4;2015;Supermassive Games Ltd.;1.63;0.44;0.89;0.05;0.25;8th Gen;Home Console;Sony
16224;Until Dawn: Rush of Blood;PlayStation 4;2016;Supermassive Games Ltd.;0.86;0.5;0.21;0.0;0.15;8th Gen;Home Console;Sony
16225;Untold Legends: Brotherhood of the Blade;PlayStation Portable;2005;Sony Online Entertainment;1.1;0.54;0.33;0.01;0.22;6th Gen;Handheld;Sony
16226;Untold Legends: Dark Kingdom;PlayStation 3;2006;Sony Online Entertainment;0.2;0.14;0.02;0.02;0.02;7th Gen;Home Console;Sony
16227;Untold Legends: The Warriors Code;PlayStation Portable;2006;Sony Online Entertainment;0.34;0.14;0.12;0.0;0.08;6th Gen;Handheld;Sony
16228;Up;Nintendo DS;2009;THQ;0.64;0.3;0.27;0.0;0.07;7th Gen;Handheld;Nintendo
16229;Up;PlayStation 2;2009;THQ;0.48;0.19;0.05;0.0;0.24;6th Gen;Home Console;Sony
16230;Up;PlayStation 3;2009;THQ;0.24;0.15;0.06;0.0;0.03;7th Gen;Home Console;Sony
16231;Up;PlayStation Portable;2009;THQ;0.4;0.24;0.09;0.0;0.07;6th Gen;Handheld;Sony
16232;Up;Wii;2009;THQ;0.57;0.22;0.29;0.0;0.06;7th Gen;Home Console;Nintendo
16233;Up;Xbox 360;2009;THQ;0.3;0.2;0.07;0.0;0.03;7th Gen;Home Console;Microsoft
16234;Uppers;PlayStation Vita;2016;Bullets;0.03;0.0;0.0;0.03;0.0;8th Gen;Handheld;Sony
16235;Uprising X;PlayStation;1998;Cyclone Studios;0.07;0.04;0.03;0.0;0.0;5th Gen;Home Console;Sony
16236;Urakata Hakuoki;PlayStation Portable;2013;Design Factory;0.02;0.0;0.0;0.02;0.0;6th Gen;Handheld;Sony
16237;Urakata Hakuouki: Akatsuki no Shirabe;PlayStation Portable;2014;ZeroDiv;0.01;0.0;0.0;0.01;0.0;6th Gen;Handheld;Sony
16238;Urban Chaos;PlayStation;2000;Mucky Foot Productions;0.11;0.06;0.04;0.0;0.01;5th Gen;Home Console;Sony
16239;Urban Chaos: Riot Response;PlayStation 2;2006;Rocksteady Studios;0.06;0.03;0.02;0.0;0.01;6th Gen;Home Console;Sony
16240;Urban Chaos: Riot Response;Xbox;2006;Rocksteady Studios;0.01;0.01;0.0;0.0;0.0;6th Gen;Home Console;Microsoft
16241;Urban Reign;PlayStation 2;2005;Namco;0.08;0.04;0.03;0.0;0.01;6th Gen;Home Console;Sony
16242;Usavichi: Game no Jikan;Nintendo DS;2011;Bandai Namco Games;0.02;0.0;0.0;0.02;0.0;7th Gen;Handheld;Nintendo
16243;Usotsuki Shangri-La;PlayStation Vita;2017;Rejet;0.0;0.0;0.0;0.0;0.0;8th Gen;Handheld;Sony
16244;Uta Kumi 575;PlayStation Vita;2014;Sega;0.02;0.0;0.0;0.02;0.0;8th Gen;Handheld;Sony
16245;Uta no * Prince-Sama;PlayStation Portable;2010;Broccoli;0.02;0.0;0.0;0.02;0.0;6th Gen;Handheld;Sony
16246;Uta no * Prince-Sama: All Star;PlayStation Portable;2013;Nippon Ichi Software;0.12;0.0;0.0;0.12;0.0;6th Gen;Handheld;Sony
16247;Uta no * Prince-Sama: Repeat;PlayStation Portable;2011;Broccoli;0.14;0.0;0.0;0.14;0.0;6th Gen;Handheld;Sony
16248;Uta no * Prince-Sama: Sweet Serenade;PlayStation Portable;2011;Broccoli;0.01;0.0;0.0;0.01;0.0;6th Gen;Handheld;Sony
16249;Uta no Prince-Sama: All Star After Secret;PlayStation Portable;2015;Unknown;0.09;0.0;0.0;0.09;0.0;6th Gen;Handheld;Sony
16250;Uta no Prince-Sama: Debut;PlayStation Portable;2012;Nippon Ichi Software;0.09;0.0;0.0;0.09;0.0;6th Gen;Handheld;Sony
16251;Uta no Prince-Sama: Music;PlayStation Portable;2011;Broccoli;0.1;0.0;0.0;0.1;0.0;6th Gen;Handheld;Sony
16252;Uta no Prince-Sama: Music 2;PlayStation Portable;2013;;0.09;0.0;0.0;0.09;0.0;6th Gen;Handheld;Sony
16253;Uta no Prince-Sama: Music 3;PlayStation Vita;2016;Nippon Ichi Software;0.06;0.0;0.0;0.06;0.0;8th Gen;Handheld;Sony
16254;Uta no Prince-Sama: Repeat Love;PlayStation Vita;2017;Broccoli;0.04;0.0;0.0;0.04;0.0;8th Gen;Handheld;Sony
16255;Uta no Prince-sama: Amazing Aria & Sweet Serenade Love;PlayStation Vita;2017;Broccoli;0.02;0.0;0.0;0.02;0.0;8th Gen;Handheld;Sony
16256;Uta no?Prince-sama? MUSIC 2;PlayStation Portable;2013;Nippon Ichi Software;0.09;0.0;0.0;0.09;0.0;6th Gen;Handheld;Sony
16257;Utatte Touch, Utouchi!!;Nintendo DS;2010;Konami;0.01;0.0;0.0;0.01;0.0;7th Gen;Handheld;Nintendo
16258;Utawarerumono Portable;PlayStation Portable;2009;Aquaplus;0.03;0.0;0.0;0.03;0.0;6th Gen;Handheld;Sony
16259;Utawarerumono Zan;PlayStation 4;2018;Tamsoft;0.03;0.0;0.0;0.03;0.0;8th Gen;Home Console;Sony
16260;Utawarerumono: Chiriyukusha e no Komoriuta;PlayStation 2;2006;Flight-Plan;0.11;0.0;0.0;0.11;0.0;6th Gen;Home Console;Sony
16261;Utawarerumono: Chiriyukusha e no Komoriuta;PlayStation 4;2018;Aqua Plus;0.03;0.0;0.0;0.03;0.0;8th Gen;Home Console;Sony
16262;Utawarerumono: Chiriyukusha e no Komoriuta;PlayStation Vita;2018;Aqua Plus;0.02;0.0;0.0;0.02;0.0;8th Gen;Handheld;Sony
16263;Utawarerumono: Futari no Hakuoro;PlayStation 3;2016;;0.01;0.0;0.0;0.01;0.0;7th Gen;Home Console;Sony
16264;Utawarerumono: Futari no Hakuoro;PlayStation 4;2016;;0.04;0.0;0.0;0.04;0.0;8th Gen;Home Console;Sony
16265;Utawarerumono: Futari no Hakuoro;PlayStation Vita;2016;;0.05;0.0;0.0;0.05;0.0;8th Gen;Handheld;Sony
16266;Utawarerumono: Itsuwari no Kamen;PlayStation 3;2015;;0.05;0.0;0.0;0.05;0.0;7th Gen;Home Console;Sony
16267;Utawarerumono: Itsuwari no Kamen;PlayStation 4;2015;;0.06;0.0;0.0;0.06;0.0;8th Gen;Home Console;Sony
