;Name;Platform_norm;Year;developer;Global_Sales;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Generation;Console_Type;Company
16332;Vandal Hearts;PlayStation;1997;Konami Computer Entertainment Tokyo;0.45;0.14;0.09;0.19;0.03;5th Gen;Home Console;Sony
16333;Vandal Hearts II;PlayStation;1999;Konami;0.11;0.06;0.04;0.0;0.01;5th Gen;Home Console;Sony
16334;Vanguard Bandits;PlayStation;2000;S-Neo;0.07;0.04;0.03;0.0;0.0;5th Gen;Home Console;Sony
16335;Vanishing Point;PlayStation;2001;Clockwork Games;0.11;0.06;0.04;0.0;0.01;5th Gen;Home Console;Sony
16336;Vanquish;PlayStation 3;2010;PlatinumGames;0.62;0.21;0.22;0.11;0.08;7th Gen;Home Console;Sony
16337;Vanquish;Xbox 360;2010;PlatinumGames;0.42;0.19;0.16;0.03;0.04;7th Gen;Home Console;Microsoft
16338;Vantage Master Portable;PlayStation Portable;2008;Nihon Falcom Corporation;0.02;0.0;0.0;0.02;0.0;6th Gen;Handheld;Sony
16339;Vegas Casino;Nintendo DS;2007;Neko Entertainment;0.03;0.03;0.0;0.0;0.0;7th Gen;Handheld;Nintendo
16340;Vegas Party;Wii;2009;Game Life;0.16;0.15;0.0;0.0;0.01;7th Gen;Home Console;Nintendo
16341;Veggy World;Nintendo DS;2011;Rhino Studios;0.02;0.02;0.0;0.0;0.0;7th Gen;Handheld;Nintendo
16342;Vehicular Combat League presents Motor Mayhem;PlayStation 2;2001;Beyond Games;0.16;0.08;0.06;0.0;0.02;6th Gen;Home Console;Sony
